User_Id,Combined_Genre,Score
19,teutonic thrash metal,71
19,teutonic thrash metal,91
95,progressive power metal,92
19,extreme gothic metal|symphonic metal,43
25,heavy metal|speed metal,86
103,black metal,90
139,grindcore,92
83,bay area thrash metal,90
53,technical death metal,84
74,black metal|folk metal,94
58,,70
19,heavy metal|us power metal,70
19,,23
140,black metal,100
74,thrash metal,68
74,stoner metal,85
141,bay area thrash metal,75
135,heavy metal|stoner metal,79
0,stoner metal,79
101,heavy metal,85
106,death metal,83
142,progressive metal,39
50,doom metal|stoner metal,81
143,progressive metalcore|extreme power metal,99
143,progressive metal,96
144,suomi metal,85
143,progressive metal,95
48,thrash metal,77
48,melodic heavy metal,90
48,progressive power metal,94
59,symphonic power metal,90
135,thrash metal,85
52,deathgrind,95
26,blackened death metal,84
19,speed metal,36
106,heavy metal,89
59,symphonic power metal,92
145,heavy metal,90
35,power metal,85
146,grindcore,90
19,progressive power metal,58
35,power metal,79
35,extreme power metal,83
147,symphonic metal|power metal,97
147,symphonic metal|power metal,68
147,death metal,87
121,death metal,100
6,death metal,95
6,death metal,75
6,thrash metal,100
6,,80
6,thrash metal,96
6,death doom metal,87
6,power metal,78
6,black metal,94
101,us power metal,80
101,symphonic metal,85
110,bay area thrash metal,92
83,bay area thrash metal,79
148,alternative metal|sludge metal,95
19,bay area thrash metal,60
26,,64
134,death metal|thrash metal,83
149,power metal,75
82,progressive metal,40
19,heavy metal,77
19,,55
35,speed metal|power metal,90
101,heavy metal,90
147,melodic death metal,90
56,heavy metal|progressive metal|thrash metal,90
50,avantgarde metal,90
134,brutal death metal,20
143,heavy metal|progressive metal|thrash metal,87
86,thrash metal,84
86,black metal,95
95,,68
86,death metal|thrash metal,82
86,thrash metal,86
48,death metal,48
110,bay area thrash metal,94
79,melodic death metal,100
79,death metal,90
79,blackened death metal,100
35,power metal,86
95,power metal,87
95,melodic hard rock|heavy metal,70
95,thrash metal|death metal,65
106,heavy metal,55
106,heavy metal,80
55,blackened death metal|thrash metal,95
137,heavy metal,70
26,progressive metal,43
134,death metal|thrash metal|heavy metal,93
150,progressive metal,78
151,folk doom metal|death doom metal,80
137,doom metal,92
152,black metal,85
35,heavy metal,74
74,stoner metal,98
153,industrial metal,85
83,teutonic thrash metal,80
154,melodic death metal,93
135,melodic death metal,72
